LexFound,IsHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်ပါတီ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ငလူး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နွားကျောင်းသား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အကြမ်းဖက်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အကြမ်းဖက်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အပြုတ်တိုက်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အပြုတ်တိုက်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ခွေးဝဲစား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ရွာသား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဗမာစစ်တပ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖင်ယား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဗမာစစ်တပ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မြို့သား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ရွာသား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နီပေါ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မြို့သား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အမျိုးယုတ်,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဘိန်းစား,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖင်ယား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,#ကြံ့ဖွတ်သူခိုးပါတီဆိုတာ#ဘုရားလက်လိမ်ချိုးတဲ့ပါတီ#တိုင်းရင်းသားတွေကိုသွေးခွဲတဲ့ အောက်တန်းစားပါတီ#ဘာသာရေးခုတုံးလုပ်အမျိုးယုတ်တဲ့ပါတီ#ဘုန်းကြီး မီးလေါင်ဗုံးနဲ့ထုတဲ့ပါတီ#သိမ်ဖျက် #ဘုရားဖျက်ပါတီ#ဘယ်တော့မှ မဲမပေးနဲ့,08:47:13 AM,https://www.facebook.com/profile.php?id=100012140684659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ငလူး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကျ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ရွာသား,,https://www.facebook.com/profile.php?id=100025975423191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်အာဏာရှင်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နီပေါ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မြို့သား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖင်ယား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ခွေးသား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ခိုးဝင်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
လူရိုင်း,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အစွန်းရောက်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဗမာတွေ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အပြုတ်တိုက်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဗမာစစ်တပ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဗမာစစ်တပ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်အာဏာရှင်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
တောသား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဗမာေတွ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အစွန်းရောက်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကျ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကျ,,https://www.facebook.com/profile.php?id=100010821090273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အမျိုးယုတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အကြမ်းဖက်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မြို့သား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မြို့သား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကျ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ငလူး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အကြမ်းဖက်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နီပေါ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,#ကြံ့ဖွတ်သူခိုးပါတီဆိုတာ#ဘုရားလက်လိမ်ချိုးတဲ့ပါတီ#တိုင်းရင်းသားတွေကိုသွေးခွဲတဲ့ အောက်တန်းစားပါတီ#ဘာသာရေးခုတုံးလုပ်အမျိုးယုတ်တဲ့ပါတီ#ဘုန်းကြီး မီးလေါင်ဗုံးနဲ့ထုတဲ့ပါတီ#သိမ်ဖျက် #ဘုရားဖျက်ပါတီ#ဘယ်တော့မှ မဲမပေးနဲ့,07:11:22 AM,https://www.facebook.com/profile.php?id=100038735797505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နီပေါ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မွတ်,,https://www.facebook.com/profile.php?id=100044310952758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မြို့သား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်ပါတီ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,,https://www.facebook.com/profile.php?id=100050523152859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,#ကြံ့ဖွတ်သူခိုးပါတီဆိုတာ#ဘုရားလက်လိမ်ချိုးတဲ့ပါတီ#တိုင်းရင်းသားတွေကိုသွေးခွဲတဲ့ အောက်တန်းစားပါတီ#ဘာသာရေးခုတုံးလုပ်အမျိုးယုတ်တဲ့ပါတီ#ဘုန်းကြီး မီးလေါင်ဗုံးနဲ့ထုတဲ့ပါတီ#သိမ်ဖျက် #ဘုရားဖျက်ပါတီ#ဘယ်တော့မှ မဲမပေးနဲ့,08:09:19 AM,https://www.facebook.com/profile.php?id=100012140684659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကျ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နီပေါ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကျ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,,https://www.facebook.com/profile.php?id=100040167791947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,တပ်က လေယာဥ်ဝင်ခံခြင်းမခံခြင်းက မြန်မာနိုင်ငံကစဥ်းစားရမဲ့အလုပ်မဟုတ်ပါ။ လက်ခံတဲ့နိုင်ငံကစဥ်းစားရမှာပါ။မြန်မာနိုင်ငံကိုလည်း မြန်မာနိုင်ငံရဲ့သင်္ဘောတူညီချက်နဲ့ အခြားနိုင်ငံတပ်မတော်ကလေယာဥ်တွေသင်္ဘောတွေဝင်နေတာပါဘဲ။တပ်မတော်နဲ့ပြည်ခိုင်ဖြိုးကတင်သမျှကန့်ကွက်နေလို့ကတော့်တကယ်နစ်နာတာကမြန်မာပြည်သူတွေပါဘဲ။ခုလိုပြောလို့စစ်ခွေးတို့ဖွတ်တို့ငှက်တို့လို့တော့်လာမပြောနဲ့နော်။တပ်မတော်သားတွေကိုစစ်ခွေးလို့ခေါ်တာတော့်လက်မခံသင့်ပါ။အင်ဒိုကတောင်မလေးက သူ့နိုင်ငံသားပြည်သူတွေကိုသင်္ဘောနဲ့လာခေါ်သွားပါတယ်။မျက်စိဖွင့်ပြရုံသက်သက်ပါဘဲ။Replykaung htunကျွန်ုပ်ကတော့်မဆဲတတ်ပါ။မင်းတို့ကအဆဲပဲတတ်ပညာမတတ်စာမတတ်စာများများဖတ်ပါ။ReplySau sanဖွတ်လား၊နီပေါလား၊နီပိန်းလား။ငှက်လား(အချို့တွေကြနာမည်ကခက်များများရယ်)ဆိုတာတွေကျွန်ုပ်မသိပါ။ကျွန်ုပ်သိတာက နိုင်ငံချစ်စိတ်၊အမျိုးချစ်စိတ်နဲ့ ဗုဒ္ဓဘာသာချစ်တဲ့စိတ်ကိုတော့်သိပါသည်။,01:16:36 PM,https://www.facebook.com/profile.php?id=100013534246066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အမျိုးယုတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကျ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နီပေါ,"ကြံ့ဖွတ်နဲ့တစ်မတ်သား ကိုယ်စားလှယ်တွေအတွက်မလေးရှားမှ တိုက်ရိုက်ပြန်စာ ..... ""ကျုပ်မလေးရှားမှာရောက်နေတာပါမစ်နဲ့ရော အိုဘဝနဲ့ပါ ၁၆ နှစ်ရှိပြီမလေးရှား သံအမတ်ထက်တောင်မှ မလေးရှားရဲ့အတွေ့အကြုံရှိတယ် သိရဲ့လား""မသိရင်မှတ်ထား ကျုပ်ပြောပြမယ်မလေးရှား မှာရှိတဲ့ ရွေ့ပြောင်းအလုပ်သမားတွေကို ကြံဖွတ်အမတ်က တပ်မတော်ယာဉ်နဲ့ပြန်ခေါ်ဖို့အဆိုတင်သွင်းတော့မလေးအစိုးရ ခေါင်းဆောင်တွေက QQ အဝှာတွေလားကွ ဟေ သောက်ရူးဖွတ်အမတ်မလေးရှားနိူင်ငံအခြေအနေကို ဘယ်လောက်သိလဲစိတ်ရူးပေါက်တိုင်း လွတ်တော်ထဲမှာ ရူးမနေနဲ့ပြည်တော်ပြန်ခွင့် လွယ်လွယ်ပေးရင်မြန်မာအစိုးရ အနေနဲ့ ခေါ်စရာတောင်မလိုဘူးကိုယ့်စာရိတ်နဲ့ကိုယ်ပြန်မယ်သူတွေပါကွာမိမိနိူင်ငံအစိုးရကို ဒုက္ခမပေးဘူးမဖြစ်နိူင်တဲ့အဆို အဓိပ္ပါယ်မဲ့တဲ့လုပ်ရပ်တွေနဲ့ပြည်သူ့ ဘဏ္ဍာ အလကား ဖြုန်းနေတဲ့ဖွတ်နွားမလေးရှားရောက် မြန်မာနိုင်ငံသား(ပြန်ချင်နေသူများ)ကို စစ်ရေယာဉ်တွေနဲ့ ပြန်ခေါ်နိုင်ဖို့ရာ နှစ်နိုင်ငံအစိုးရတွေ အစီအစဉ်ရှိုမရှိမေးမြန်းပြီး ပြန်ခေါ်နိုင်ဖို့ရာလွှတ်တော်မှာ အဆိုတင်သွင်းတဲ့အမတ်က မလေးပြည်တွင်းက အခြေအနေတွေ လိမ့်ပတ်လည်အောင်သိသလား...မလေးမှာ မြန်မာနိုင်ငံသားတမျိုးတည်းမဟုတ်ဘူးဆိုတာရောနားလည်ရဲ့လား...အင်ဒို၊ထိုင်း၊ကမ္ဘောဒီးယား၊ဗီယက်နမ်၊ဘင်္ဂလားဒေ့ခ်ျ၊နီပေါ၊ပါကစ္စတန်၊ဖိလစ်ပိုင်၊တရုပ်၊လာအိုနဲ့ အခြားသောနိုင်ငံခြားသား အလုပ်သမားများစွာရှိသေးတယ်ဆိုတာရောသိသလား...ပြန်လို့ရမယ် အခွင့်အရေးဆောင်နေကြတာ သိလားညီအစ်ကိုနိုင်ငံဖြစ်တဲ့ အင်ဒိုနီးရှား၊ဘေးခြင်းကပ်နေတဲ့ ထိုင်းတို့ကတောင် မတောင်းဆိုကြသလို မလေးကလည်းခွင့်ပြုမထားဘူးဆိုတာသိသလား...ကိုယ့်ရေပိုင်နက် ကိုယ့်တိုင်းပြည်ထဲကို အခြားနိုင်ငံတွေက စစ်ရေယဉ်တွေ...စစ်လေယာဉ်တွေပေးပြီးအဝင်ခံဖို့ဆိုတာလွယ်သလား...မလေးမှာ ကြိုးဆွဲချသေကြတယ်ဆိုတာ ငတ်လို့သေတာမဟုတ်ပဲ ကိုယ်ရေးကိုယ်တာ ကိစ္စတွေကြောင့်ရောဆိုတာသိသလား...မလေးရှား ပရဟိတအဖွဲ့အချို့ကလိုတာထက်ပိုပြီး မျက်ရည်ခြူလို့ အလှူရှင်မျှော်နေကြတာမျိုးတွေ ရှိတယ်ဆိုတာ တွေရောသိသလား အဲ့သည့် လူအုပ်ကြီးကို မလေးရှားရဲ့ဆိပ်ကမ်းမြို့ကြီးတွေမှာ ကျန်းမာရေးစီစစ်ပြီး သင်္ဘောပေါ်ကို စနစ်တကျ စိတ်ရှည်လက်ရှည် တင်ပေးနိုင်လောက်အောင် မလေးအစိုးရက အားနေတယ်ထင်သလား...ဖျာခင်းဖို့ပဲတွေးပြီး ပြည်သူနဲ့ ပြည်သူရွှေးချယ်တင်မြေုာက်ထားတဲ့ အစိုးရကို သွေးခွဲဖို့လောက် အကြံနဲ့တော့တက်မလာနဲ့...ကံဆိုးမိုးမှောင်ကျစွာ မင်းတို့လက်ထဲ တိုင်းပြည်းအာဏာပြန်ရောက်သွားမယ်ဆိုရင်တောင်မှပဲ တိုင်းပြည်တဝက်ကျော်က အလိုလို တော်လှန်ရေးရဲဘော်၊ရဲမေတွေ ဖြစ်သွားနိုင်တယ်ဆိုတာရော သိရဲ့လား...မင်းတို့ အရိုးပေးကိုက်ထားတဲ့ ပရဟိတအယောင်ဆောင်တွေဆီကို မင်းတို့လက်သတ်မွေးထားတဲ့ မီဒီယာဆိုတဲ့ကောင်တွေက အင်တာဗျူးလေးလုပ်၊ဖုန်းသတင်းလေးမေးပြီး လူထုကိုခြောက်ခြားအောင်လုပ်နေတာ မပိန်းသူတွေက သိနေတယ်ဆိုတာကိုရော နားလည်ရဲ့လား...မင်းတို့ကောင်တွေလို ဘဏ္ဍာကုန်... လွှတ်တော်လေး...နေပြည်တော်မှာချီးများတာပဲအဖတ်တင်တဲ့ အဆင့်နဲ့ ဂယောင်ခြောက်ခြားအဆိုတွေကို အချိန်ကုန်ခံပြီး မတင်သွင်းကြပါနဲ့တော့...အကျိုးရှိမဲ့ကိစ္စတွေ ဆွေးနွေးဖို့ အချိန်ပုတ်သလို မင်းတို့လှုပ်လိုက်လို့ ထသွားတဲ့ ဂယက်အပေါ်မှာ ဖွတ်တွေ အရိုးကိုက်တွေ တလက်မထက် ပိုမကြည့်တတ်တဲ့ ကိုယ့်လိုဘလေးသာသိတဲ့ သောက်ပိန်းတွေ ထထပွက်ကြတာကိုကြည့်ပြီး တို့မှာပါ ဖုန်းဘေကုန် အာရုံနောက်ရလို့",12:13:01 AM,https://www.facebook.com/profile.php?id=100051271824060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အကြမ်းဖက်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,,https://www.facebook.com/profile.php?id=100025660001584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
နီပိန်း,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဗလီတွေ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အောက်တန်းကျ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူခိုး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
မွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ငလူး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဘိန်းစား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဘိန်းစား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဝူဟန်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူပုန်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဗမာစစ်တပ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ရွာသား,လင်း သု တ ဟုတ်တယ် ရခိုင်က သူပုန်ကြီးပဲ အောက်က ခွေးသားတွေလဲ ပြည်သူလို့မပြောနဲ့ တပ်မတော်ကိုထောက်ခံတဲ့ ပြည်သူဆိုတာလဲရှိတယ် မင်းတို့ RK တွေက လီးလိုကောင်တွေ စောက်စကားပြောရင်ကို စောက်အပေါက်အလမ်းမတည့်ဘူး အဲ့  RKပြည်ကို မီးလောင်တိုက်သွင်းပစ်လိုချင်နေပီ ဒါမှမဟုတ် ဟိုဘက်အခြမ်းက ကုလားတွေကိုRK မတွေ ပေးလိုးလိုက် သောက်RK AAအားပေးသူပုန်ကောင်တွေ မြန်မြန်သေ ပီးမှ ရွာသားထိလို့ဘာလို့လာမပြောနဲ့ ရွာသားတွေလဲ ကလေးလူကြီးမိန်းမအကုန် သူပုန်တွေကြီးဖြစ်နေတာ ဘာတော်လှန်ရေး လီးတော်လှန်ရေး တသက်လုံးကျွန်လိုပဲနေလိုက် RKတေွ,03:24:10 AM,https://www.facebook.com/profile.php?id=100004279771170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဗမာတွေ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူပုန်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ကြံ့ဖွတ်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
သူပုန်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
အကြမ်းဖက်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ဖင်ယား,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
စစ်ခွေး,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ခိုးဝင်,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
